,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
147,F1 2015,2015,Racing,Codemasters,100000,450000,40000,100000,680000
148,METRO 2033,2014,Shooter,Deep Silver,220000,310000,50000,100000,680000
149,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,240000,300000,10000,110000,660000
150,Tales of Berseria,2016,Role-Playing,Namco Bandai Games,220000,100000,260000,70000,650000
151,Yakuza Zero: The Place of Oath,2015,Adventure,Sega,220000,160000,190000,80000,650000
152,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,210000,260000,90000,90000,650000
153,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,150000,390000,10000,100000,640000
154,World of Final Fantasy,2016,Role-Playing,Square Enix,240000,210000,90000,90000,620000
155,F1 2017,2017,Racing,Koch Media,40000,470000,20000,90000,620000
156,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,170000,300000,30000,90000,580000
157,Dragon Quest Builders: Revive Alefgard,2016,Role-Playing,Square Enix,120000,170000,240000,60000,580000
158,Resident Evil: Revelations 2,2015,Action,Capcom,140000,250000,110000,70000,570000
159,Everybody's Golf,2017,Sports,Sony Interactive Entertainment,120000,220000,170000,60000,560000
160,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,200000,260000,20000,90000,560000
161,Sonic Forces,2017,Platform,Sega,150000,310000,10000,90000,560000
162,Lords of the Fallen,2014,Role-Playing,Square Enix,200000,240000,20000,90000,550000
163,Project CARS 2,2017,Racing,Namco Bandai Games,100000,350000,20000,80000,550000
164,One Piece: Pirate Warriors 3,2015,Action,Namco Bandai Games,110000,220000,110000,60000,520000
165,Homefront: The Revolution,2016,Shooter,Deep Silver,110000,290000,40000,70000,500000
166,Attack on Titan (KOEI),2016,Action,Tecmo Koei,80000,240000,120000,60000,500000
167,DiRT 4,2017,Racing,Codemasters,100000,300000,20000,70000,490000
168,Battleborn,2016,Shooter,2K Games,250000,120000,30000,80000,480000
169,Friday the 13th: The Game,2017,Action,Gun Media,290000,90000,30000,80000,480000
170,The Walking Dead: A Telltale Games Series,2014,Adventure,Telltale Games,120000,260000,30000,70000,480000
171,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,130000,250000,20000,70000,480000
173,Knack 2,2017,Platform,Sony Interactive Entertainment,140000,250000,10000,70000,470000
174,Dissidia Final Fantasy NT,2018,Fighting,Square Enix,190000,60000,160000,50000,460000
175,Yakuza Kiwami,2016,Adventure,Sega,130000,70000,210000,40000,450000
176,Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,180000,160000,40000,70000,450000
177,Star Ocean 5: Integrity and Faithlessness,2016,Role-Playing,Square Enix,100000,130000,160000,50000,450000
178,Trials Fusion,2014,Misc,Ubisoft,130000,230000,10000,70000,430000
179,Saints Row IV,2015,Action,Deep Silver,150000,180000,30000,60000,420000
